date,key,value
05/31/2015,Lindsey Graham,2.84
06/07/2015,Lindsey Graham,1.66
06/14/2015,Lindsey Graham,1.15
06/21/2015,Lindsey Graham,0.71
06/28/2015,Lindsey Graham,0.59
07/05/2015,Lindsey Graham,0.43
07/12/2015,Lindsey Graham,0.52
07/19/2015,Lindsey Graham,3.56
07/26/2015,Lindsey Graham,0.55
08/02/2015,Lindsey Graham,1.52
08/09/2015,Lindsey Graham,0.41
08/16/2015,Lindsey Graham,0.34
08/23/2015,Lindsey Graham,0.40
08/30/2015,Lindsey Graham,0.30
09/06/2015,Lindsey Graham,0.32
09/13/2015,Lindsey Graham,1.56
09/20/2015,Lindsey Graham,0.42
09/27/2015,Lindsey Graham,0.25
10/04/2015,Lindsey Graham,0.43
10/11/2015,Lindsey Graham,0.23
10/18/2015,Lindsey Graham,0.22
10/25/2015,Lindsey Graham,0.89
11/01/2015,Lindsey Graham,0.35
11/08/2015,Lindsey Graham,0.51
11/15/2015,Lindsey Graham,0.44
11/22/2015,Lindsey Graham,0.21
11/29/2015,Lindsey Graham,0.28
12/06/2015,Lindsey Graham,0.79
12/13/2015,Lindsey Graham,1.19
12/20/2015,Lindsey Graham,1.56
12/27/2015,Lindsey Graham,0.20
01/03/2016,Lindsey Graham,0.16
01/10/2016,Lindsey Graham,0.42
01/17/2016,Lindsey Graham,0.28
01/24/2016,Lindsey Graham,0.18
01/31/2016,Lindsey Graham,0.23
02/07/2016,Lindsey Graham,0.37
02/14/2016,Lindsey Graham,0.47
02/21/2016,Lindsey Graham,1.07
02/28/2016,Lindsey Graham,0.82
03/06/2016,Lindsey Graham,0.46
03/13/2016,Lindsey Graham,0.60
03/20/2016,Lindsey Graham,1.22
03/27/2016,Lindsey Graham,0.42
04/03/2016,Lindsey Graham,0.00
04/10/2016,Lindsey Graham,0.18
04/17/2016,Lindsey Graham,0.16
04/24/2016,Lindsey Graham,0.00
05/01/2016,Lindsey Graham,1.80
05/08/2016,Lindsey Graham,0.58
05/15/2016,Lindsey Graham,0.00
05/22/2016,Lindsey Graham,0.00
05/29/2016,Lindsey Graham,0.00
12/28/2014,Mike Huckabee,0.00
01/04/2015,Mike Huckabee,1.13
01/11/2015,Mike Huckabee,0.80
01/18/2015,Mike Huckabee,1.34
01/25/2015,Mike Huckabee,0.75
02/01/2015,Mike Huckabee,0.81
02/08/2015,Mike Huckabee,0.35
02/15/2015,Mike Huckabee,0.31
02/22/2015,Mike Huckabee,0.31
03/01/2015,Mike Huckabee,0.34
03/08/2015,Mike Huckabee,0.32
03/15/2015,Mike Huckabee,0.28
03/22/2015,Mike Huckabee,0.30
03/29/2015,Mike Huckabee,0.35
04/05/2015,Mike Huckabee,0.25
04/12/2015,Mike Huckabee,0.43
04/19/2015,Mike Huckabee,0.37
04/26/2015,Mike Huckabee,0.28
05/03/2015,Mike Huckabee,2.34
05/10/2015,Mike Huckabee,0.55
05/17/2015,Mike Huckabee,0.95
05/24/2015,Mike Huckabee,0.94
05/31/2015,Mike Huckabee,1.10
06/07/2015,Mike Huckabee,0.35
06/14/2015,Mike Huckabee,0.37
06/21/2015,Mike Huckabee,0.90
06/28/2015,Mike Huckabee,0.79
07/05/2015,Mike Huckabee,0.38
07/12/2015,Mike Huckabee,0.28
07/19/2015,Mike Huckabee,0.30
07/26/2015,Mike Huckabee,2.12
