date,Candidate,search interest (indexed 1-100),
Dec 7 2015,Jeb Bush,1.96,
Dec 8 2015,Jeb Bush,3.15,
Dec 9 2015,Jeb Bush,2.76,
Dec 10 2015,Jeb Bush,2.50,
Dec 11 2015,Jeb Bush,2.50,
Dec 12 2015,Jeb Bush,1.45,
Dec 13 2015,Jeb Bush,1.50,
Dec 14 2015,Jeb Bush,1.64,
Dec 15 2015,Jeb Bush,1.66,
Dec 16 2015,Jeb Bush,9.87,
Dec 17 2015,Jeb Bush,3.74,
Dec 18 2015,Jeb Bush,2.68,
Dec 19 2015,Jeb Bush,2.67,
Dec 20 2015,Jeb Bush,3.14,
Dec 21 2015,Jeb Bush,2.14,
Dec 22 2015,Jeb Bush,1.96,
Dec 23 2015,Jeb Bush,2.09,
Dec 24 2015,Jeb Bush,1.76,
Dec 25 2015,Jeb Bush,1.58,
Dec 26 2015,Jeb Bush,1.27,
Dec 27 2015,Jeb Bush,1.07,
Dec 28 2015,Jeb Bush,1.43,
Dec 29 2015,Jeb Bush,1.88,
Dec 30 2015,Jeb Bush,1.70,
Dec 31 2015,Jeb Bush,1.73,
Jan 1 2016,Jeb Bush,1.86,
Jan 2 2016,Jeb Bush,1.48,
Jan 3 2016,Jeb Bush,1.41,
Jan 4 2016,Jeb Bush,1.36,
Jan 5 2016,Jeb Bush,2.34,
Jan 6 2016,Jeb Bush,2.44,
Jan 7 2016,Jeb Bush,1.88,
Jan 8 2016,Jeb Bush,1.67,
Jan 9 2016,Jeb Bush,1.64,
Jan 10 2016,Jeb Bush,1.15,
Jan 11 2016,Jeb Bush,1.23,
Jan 12 2016,Jeb Bush,1.39,
Jan 13 2016,Jeb Bush,1.68,
Jan 14 2016,Jeb Bush,1.85,
Jan 15 2016,Jeb Bush,5.12,
Jan 16 2016,Jeb Bush,2.46,
Jan 17 2016,Jeb Bush,2.26,
Jan 18 2016,Jeb Bush,2.20,
Jan 19 2016,Jeb Bush,1.81,
Jan 20 2016,Jeb Bush,1.94,
Jan 21 2016,Jeb Bush,2.04,
Jan 22 2016,Jeb Bush,2.19,
Jan 23 2016,Jeb Bush,2.20,
Jan 24 2016,Jeb Bush,1.81,
Jan 25 2016,Jeb Bush,1.62,
Jan 26 2016,Jeb Bush,1.90,
Jan 27 2016,Jeb Bush,2.28,
Jan 28 2016,Jeb Bush,2.25,
Jan 29 2016,Jeb Bush,5.31,
Jan 30 2016,Jeb Bush,2.43,
Jan 31 2016,Jeb Bush,2.28,
Feb 1 2016,Jeb Bush,2.49,
Feb 2 2016,Jeb Bush,6.12,
Feb 3 2016,Jeb Bush,4.00,
Feb 4 2016,Jeb Bush,6.22,
Feb 5 2016,Jeb Bush,5.44,
Feb 6 2016,Jeb Bush,4.75,
Feb 7 2016,Jeb Bush,8.46,
Feb 8 2016,Jeb Bush,4.68,
Feb 9 2016,Jeb Bush,4.99,
Feb 10 2016,Jeb Bush,7.47,
Feb 11 2016,Jeb Bush,4.93,
Feb 12 2016,Jeb Bush,4.08,
Feb 13 2016,Jeb Bush,3.41,
Feb 14 2016,Jeb Bush,12.61,
Feb 15 2016,Jeb Bush,6.85,
