Date,Candidate,Search interest (indexed 1-100)
Mar 19 2015,Bernie Sanders,0.56
Mar 20 2015,Bernie Sanders,0.51
Mar 21 2015,Bernie Sanders,0.53
Mar 22 2015,Bernie Sanders,0.56
Mar 23 2015,Bernie Sanders,0.70
Mar 24 2015,Bernie Sanders,0.55
Mar 25 2015,Bernie Sanders,0.55
Mar 26 2015,Bernie Sanders,0.55
Mar 27 2015,Bernie Sanders,0.56
Mar 28 2015,Bernie Sanders,0.60
Mar 29 2015,Bernie Sanders,0.64
Mar 30 2015,Bernie Sanders,0.68
Mar 31 2015,Bernie Sanders,0.60
Apr 1 2015,Bernie Sanders,0.59
Apr 2 2015,Bernie Sanders,0.57
Apr 3 2015,Bernie Sanders,0.55
Apr 4 2015,Bernie Sanders,0.56
Apr 5 2015,Bernie Sanders,0.48
Apr 6 2015,Bernie Sanders,0.48
Apr 7 2015,Bernie Sanders,0.55
Apr 8 2015,Bernie Sanders,0.63
Apr 9 2015,Bernie Sanders,0.75
Apr 10 2015,Bernie Sanders,0.61
Apr 11 2015,Bernie Sanders,0.59
Apr 12 2015,Bernie Sanders,0.80
Apr 13 2015,Bernie Sanders,1.06
Apr 14 2015,Bernie Sanders,0.76
Apr 15 2015,Bernie Sanders,0.85
Apr 16 2015,Bernie Sanders,1.02
Apr 17 2015,Bernie Sanders,0.85
Apr 18 2015,Bernie Sanders,0.64
Apr 19 2015,Bernie Sanders,0.91
Apr 20 2015,Bernie Sanders,0.80
Apr 21 2015,Bernie Sanders,0.66
Apr 22 2015,Bernie Sanders,0.64
Apr 23 2015,Bernie Sanders,0.71
Apr 24 2015,Bernie Sanders,0.61
Apr 25 2015,Bernie Sanders,0.79
Apr 26 2015,Bernie Sanders,0.99
Apr 27 2015,Bernie Sanders,0.85
Apr 28 2015,Bernie Sanders,2.60
Apr 29 2015,Bernie Sanders,7.07
Apr 30 2015,Bernie Sanders,17.80
May 1 2015,Bernie Sanders,9.23
May 2 2015,Bernie Sanders,7.52
May 3 2015,Bernie Sanders,6.19
May 4 2015,Bernie Sanders,4.93
May 5 2015,Bernie Sanders,4.71
May 6 2015,Bernie Sanders,3.97
May 7 2015,Bernie Sanders,3.70
May 8 2015,Bernie Sanders,2.91
May 9 2015,Bernie Sanders,2.99
May 10 2015,Bernie Sanders,3.34
May 11 2015,Bernie Sanders,2.54
May 12 2015,Bernie Sanders,2.29
May 13 2015,Bernie Sanders,2.11
May 14 2015,Bernie Sanders,2.08
May 15 2015,Bernie Sanders,1.92
May 16 2015,Bernie Sanders,1.70
May 17 2015,Bernie Sanders,1.95
May 18 2015,Bernie Sanders,2.23
May 19 2015,Bernie Sanders,3.74
May 20 2015,Bernie Sanders,3.58
May 21 2015,Bernie Sanders,2.56
May 22 2015,Bernie Sanders,1.97
May 23 2015,Bernie Sanders,1.86
May 24 2015,Bernie Sanders,2.12
May 25 2015,Bernie Sanders,1.88
May 26 2015,Bernie Sanders,4.52
May 27 2015,Bernie Sanders,6.14
May 28 2015,Bernie Sanders,4.11
May 29 2015,Bernie Sanders,4.36
May 30 2015,Bernie Sanders,4.28
May 31 2015,Bernie Sanders,4.51
Jun 1 2015,Bernie Sanders,4.38
Jun 2 2015,Bernie Sanders,3.95
Jun 3 2015,Bernie Sanders,3.52
Jun 4 2015,Bernie Sanders,3.43
Jun 5 2015,Bernie Sanders,3.30
Jun 6 2015,Bernie Sanders,2.86
Jun 7 2015,Bernie Sanders,2.89
Jun 8 2015,Bernie Sanders,2.82
Jun 9 2015,Bernie Sanders,2.90
Jun 10 2015,Bernie Sanders,3.19
Jun 11 2015,Bernie Sanders,3.37
Jun 12 2015,Bernie Sanders,3.54
Jun 13 2015,Bernie Sanders,3.85
Jun 14 2015,Bernie Sanders,5.09
Jun 15 2015,Bernie Sanders,4.10
Jun 16 2015,Bernie Sanders,5.89
Jun 17 2015,Bernie Sanders,7.35
Jun 18 2015,Bernie Sanders,5.05
Jun 19 2015,Bernie Sanders,4.98
Jun 20 2015,Bernie Sanders,6.05
Jun 21 2015,Bernie Sanders,5.44
Jun 22 2015,Bernie Sanders,4.70
Jun 23 2015,Bernie Sanders,4.35
Jun 24 2015,Bernie Sanders,4.23
Jun 25 2015,Bernie Sanders,5.82
Jun 26 2015,Bernie Sanders,6.33
Jun 27 2015,Bernie Sanders,6.02
Jun 28 2015,Bernie Sanders,6.32
Jun 29 2015,Bernie Sanders,5.71
Jun 30 2015,Bernie Sanders,6.55
Jul 1 2015,Bernie Sanders,7.13
Jul 2 2015,Bernie Sanders,13.79
Jul 3 2015,Bernie Sanders,11.32
Jul 4 2015,Bernie Sanders,9.06
Jul 5 2015,Bernie Sanders,8.64
Jul 6 2015,Bernie Sanders,7.69
Jul 7 2015,Bernie Sanders,10.01
Jul 8 2015,Bernie Sanders,8.68
Jul 9 2015,Bernie Sanders,8.49
